연도별,산업별,전산업,농업 수렵업 및 임업(01-02),어 업(05),광 업(10-12),제 조 업(15-37),"전기, 가스 및 수도사업(40-41)",건설업(45-46),도매 및 소매업(50∼52),숙박 및 음식점업(55),운수업(60-63),통신업(64),금융 및 보험업(65-67),부동산 및 임대업(70-71),사업 서비스업(72-75),교육서비스업(80),보건 및 사회복지사업(85-86),"오락, 문화 및 운동관련서비스업(87-88)","기타 공공, 수리 및 개인서비스업(90-93)"
2006,평균연령,37.5,41.3,46,45.4,37,40.3,38.3,34.9,37.7,41.9,38.4,35.8,48.5,36.6,38.8,34.5,35.9,38.8
2006,평균근속년수,5.8,11,3.2,7.6,6.2,13.8,4.2,4.9,3.1,6.6,12.1,10.1,3.8,4,7.7,4.6,5.1,5
2006,근로일수,22.9,22.8,24,24,23.5,22,23.6,23.2,24.5,22.5,21.6,21.2,20.5,21.8,22.1,23.3,23.1,23.8
2006,총근로시간수 ,198,185.9,187.7,201,205.4,192,193.2,193.5,219,201.6,177.9,175.5,240.3,185.5,175.6,195.1,192.7,196.4
2006,정상근로시간수,180.4,178,185.7,181,177.1,173.5,185.2,184.2,204.6,176.8,167.7,168,237.3,174.8,171,185.4,181.5,187.3
2006,초과근로시간수,17.5,7.9,2,19.9,28.3,18.5,8,9.3,14.4,24.8,10.2,7.5,3,10.7,4.6,9.7,11.3,9.1
2006,월급여총액,2014265,2331849,2127154,2126503,1934598,3161517,2015503,2069412,1476304,1840351,2828279,2626740,1444347,2141988,2325596,1900792,2146555,1834091
2006,정액급여,1852825,2217038,2086116,1884765,1674915,2738810,1946295,2010224,1379377,1582267,2678906,2542958,1403851,2066544,2268527,1810919,2035116,1750248
2006,초과급여,161440,114811,41038,241739,259683,422707,69207,59188,96927,258084,149373,83782,40495,75444,57068,89873,111439,83843
2006,연간특별급여,5540260,6936072,4730708,6061751,5776324,12788235,3290002,5096180,2325666,4744987,11106578,14414563,2811915,3542489,7003429,4408843,6463459,3734185
2006,근로자수,6750196,14057,3523,14340,2609845,49274,414755,592969,172636,456410,66861,339770,203905,750680,360561,398470,93308,208832
2007,평균연령,37.8,42.1,45.8,45.7,37.4,40,39.4,35.6,37.2,43,38.1,36,49.5,35.9,39.1,34.2,36.6,39.7
2007,평균근속년수,5.9,10.3,4.2,9.3,6.2,13.8,4.2,5,3.5,6.6,10.6,9.6,4.2,4.5,7.8,4.5,5.4,5
2007,근로일수,22.3,22.2,23.8,23.7,22.8,21.3,23,22.5,23.9,22.1,20.7,20.2,20,21.1,21.4,22.7,22.6,23.5
2007,총근로시간수 ,191.5,179.2,190,197.1,200.5,188.7,184.1,183.1,210.7,199.8,170.2,165.3,231.1,178.5,169.8,189.5,187.5,193.2
2007,정상근로시간수,174.9,173.7,188.1,175.2,172,166.5,179.5,177.1,197.7,176.7,161.6,160.3,227.8,168.2,165.7,178.4,176.3,185
2007,초과근로시간수,16.6,5.5,1.8,21.9,28.5,22.2,4.7,6,13,23,8.6,5,3.4,10.3,4.1,11.1,11.2,8.2
2007,월급여총액,2127430,2345955,2057616,2373650,2048577,3224816,2082762,2113041,1491288,1921615,2940548,2884825,1691479,2288671,2519578,1923960,2279033,1870830
2007,정액급여,1967831,2302143,2043065,2140702,1783449,2861294,2028550,2056316,1396586,1668296,2819025,2809431,1646167,2197793,2481713,1829378,2150654,1796263
2007,초과급여,159599,43812,14551,232949,265128,363523,54212,56725,94702,253319,121523,75393,45312,90878,37865,94582,128379,74567
2007,연간특별급여,5395680,6337906,3496578,5361907,6128623,13792337,2858365,4867856,1670079,4444602,10410058,12887308,2507436,4761928,4276750,3809417,5074849,2951780
2007,근로자수,6929525,12754,2819,14228,2640009,52583,423369,611799,176200,410853,68953,338049,210690,851357,362878,437957,95188,219839
2008,평균연령,38,41.9,45,48,37.6,40.3,39.3,35.9,37,41.7,39.1,36.2,49.1,36.2,39.4,35.1,36.8,39.1
2008,평균근속년수,5.9,8.4,4,7.4,6.3,13.5,4.3,4.9,2.9,6.2,11.9,9.9,4,4.4,7.3,4.8,6.4,4.9
2008,근로일수,21.8,21.8,21.6,22.5,22.4,20.8,22.3,22,23.4,21.6,20.6,20.1,19.6,20.9,20.8,22.1,21.7,23.2
2008,총근로시간수 ,188.7,176.6,175.5,182.6,199.9,178.7,185.2,181.9,206,189.2,170.3,164.3,225.8,176.7,166.6,184.6,182.3,190.2
2008,정상근로시간수,172.6,172.4,173.6,171.9,171.4,163.5,177.4,175.3,195.1,171.9,160.7,158.5,222.3,165.1,161.9,175,171.3,181.3
2008,초과근로시간수,16.2,4.2,1.8,10.8,28.5,15.2,7.8,6.6,10.9,17.3,9.6,5.7,3.5,11.6,4.6,9.6,11,8.9
2008,월급여총액,2258684,2238874,2111305,2422808,2168286,3360076,2277048,2201442,1580494,1989217,3156207,2981458,1734427,2491092,2632810,2045681,2396875,1976700
2008,정액급여,2095289,2206146,2097361,2301056,1895183,3067215,2191590,2139382,1496511,1793214,2999142,2895026,1685736,2381714,2572511,1945799,2263118,1881815
2008,초과급여,163394,32728,13944,121753,273103,292860,85458,62060,83982,196003,157065,86431,48692,109377,60299,99882,133757,94885
2008,연간특별급여,5561367,5072498,4601720,5797964,6254470,14449456,3467034,4547460,1709217,4523412,11353488,14919533,2077814,4389534,3664416,4197575,6087969,3206563
2008,근로자수,7240948,14540,4988,19709,2592780,54924,450092,674163,178608,514723,113021,369880,199482,850451,394397,476455,113619,219115