산업분류,사업체수,남대표,여대표
전체,3602461,2246617,1355844
농업임업및어업,2388,2161,227
광업,1836,1641,195
제조업,371906,302646,69260
전기가스증기및공기조절공급업,1067,1017,50
수도하수및폐기물처리원료재생업,7089,6177,912
건설업,111181,95060,16121
도매및소매업,939357,555127,384230
운수및창고업,364349,344345,20004
숙박및음식점업,673064,240781,432283
정보통신업,33779,28644,5135
금융및보험업,41799,36296,5503
부동산업,119049,81054,37995
전문과학및기술서비스업,84260,73609,10651
사업시설관리사업지원및임대서비스업,56639,41468,15171
공공행정국방및사회보장행정,11939,11374,565
교육서비스업,172289,79997,92292
보건업및사회복지서비스업,122764,67531,55233
예술스포츠및여가관련서비스업,104597,60529,44068
협회및단체수리및기타개인서비스업,383109,217160,165949
