산업분류,합,남,여
전체,3676859,2287964,1388895
농업임업및어업,2655,2379,276
광업,1881,1679,202
제조업,382575,309601,72974
전기가스증기및공기조절공급업,1121,1072,49
수도하수및폐기물처리원료재생업,7565,6553,1012
건설업,118767,100520,18247
도매및소매업,957058,562558,394500
운수및창고업,371628,350650,20978
숙박및음식점업,685669,249025,436644
정보통신업,35290,29722,5568
금융및보험업,41609,35909,5700
부동산업,119832,80746,39086
전문과학및기술서비스업,87868,76517,11351
사업시설관리사업지원및임대서비스업,59755,43448,16307
공공행정국방및사회보장행정,12027,11441,586
교육서비스업,173740,80399,93341
보건업및사회복지서비스업,127925,70023,57902
예술스포츠및여가관련서비스업,104222,59699,44523
협회및단체수리및기타개인서비스업,385672,216023,169649
