산업분류,합,남,여
전체,4019872,2481727,1538145
농업임업및어업,3880,3308,572
광업,2001,1782,219
제조업,433684,344495,89189
전기가스증기및공기조절공급업,1829,1575,254
수도하수및폐기물처리원료재생업,8533,7143,1390
건설업,138478,113017,25461
도매및소매업,1022739,601520,421219
운수및창고업,386919,361376,25543
숙박및음식점업,747577,289525,458052
정보통신업,42887,35428,7459
금융및보험업,43514,36363,7151
부동산업,152083,97726,54357
전문과학및기술서비스업,104252,88636,15616
사업시설관리사업지원및임대서비스업,68177,48566,19611
공공행정국방및사회보장행정,12488,11584,904
교육서비스업,185275,82215,103060
보건업및사회복지서비스업,145909,78730,67179
예술스포츠및여가관련서비스업,118797,67570,51227
협회및단체수리및기타개인서비스업,400850,211168,189682
