산업분류,사업체수,남대표,여대표
전체,4176549,2568460,1608089
농업임업및어업,4522,3856,666
광업,1776,1562,214
제조업,440766,346835,93931
전기가스증기및공기조절공급업,3119,2502,617
수도하수및폐기물처리원료재생업,9423,7816,1607
건설업,146293,117387,28906
도매및소매업,1028323,603098,425225
운수및창고업,409288,380369,28919
숙박및음식점업,785706,315323,470383
정보통신업,45303,36894,8409
금융및보험업,43555,35626,7929
부동산업,168481,107062,61419
전문과학및기술서비스업,118129,98201,19928
사업시설관리사업지원및임대서비스업,73282,51525,21757
공공행정국방및사회보장행정,12570,11370,1200
교육서비스업,193790,82756,111034
보건업및사회복지서비스업,150659,81755,68904
예술스포츠및여가관련서비스업,124621,70752,53869
협회및단체수리및기타개인서비스업,416943,213771,203172
