산업분류,종사자 합,남,여
전체,15435729,9153578,6282151
농업임업및어업,30305,22691,7614
광업,16774,14787,1987
제조업,3231791,2328141,903650
전기가스증기및공기조절공급업,50402,44858,5544
수도하수및폐기물처리원료재생업,75749,64979,10770
건설업,837870,732303,105567
도매및소매업,2500253,1350905,1149348
운수및창고업,869653,784270,85383
숙박및음식점업,1671710,542135,1129575
정보통신업,401805,284462,117343
금융및보험업,621959,293503,328456
부동산업,388832,273390,115442
전문과학및기술서비스업,569071,404381,164690
사업시설관리사업지원및임대서비스업,609741,336903,272838
공공행정국방및사회보장행정,543025,406939,136086
교육서비스업,1249856,502284,747572
보건업및사회복지서비스업,734896,192773,542123
예술스포츠및여가관련서비스업,289452,165051,124401
협회및단체수리및기타개인서비스업,742585,408823,333762
