산업분류,종사자 합,남,여
전체,17646973,10396007,7250966
농업임업및어업,29433,21862,7571
광업,15981,14064,1917
제조업,3422439,2515572,906867
전기가스증기및공기조절공급업,51562,46030,5532
수도하수및폐기물처리원료재생업,84132,71855,12277
건설업,1176826,1041009,135817
도매및소매업,2618185,1420547,1197638
운수및창고업,989773,897880,91893
숙박및음식점업,1760917,602962,1157955
정보통신업,464158,331788,132370
금융및보험업,714769,327071,387698
부동산업,417457,278959,138498
전문과학및기술서비스업,769087,541100,227987
사업시설관리사업지원및임대서비스업,830441,442841,387600
공공행정국방및사회보장행정,662894,466951,195943
교육서비스업,1430894,538063,892831
보건업및사회복지서비스업,1097838,242542,855296
예술스포츠및여가관련서비스업,319954,176476,143478
협회및단체수리및기타개인서비스업,790233,418435,371798
