산업분류,종사자 합,남,여
전체,19899697,11503515,8396182
농업임업및어업,36034,26713,9321
광업,15642,13644,1998
제조업,3981938,2951530,1030408
전기가스증기및공기조절공급업,55388,47661,7727
수도하수및폐기물처리원료재생업,99187,83765,15422
건설업,1103794,956992,146802
도매및소매업,3007745,1627380,1380365
운수및창고업,1049058,923374,125684
숙박및음식점업,2067166,743223,1323943
정보통신업,528102,371827,156275
금융및보험업,705824,321850,383974
부동산업,445495,288870,156625
전문과학및기술서비스업,930441,643751,286690
사업시설관리사업지원및임대서비스업,1025145,551300,473845
공공행정국방및사회보장행정,648966,446257,202709
교육서비스업,1513769,569602,944167
보건업및사회복지서비스업,1466397,299168,1167229
예술스포츠및여가관련서비스업,362955,192777,170178
협회및단체수리및기타개인서비스업,856651,443831,412820
