산업분류,사업체수,남대표,여대표
전체,3262921,2070873,1192048
농업임업및어업,2181,2073,108
광업,1746,1629,117
제조업,335402,278768,56634
전기가스증기및공기조절공급업,880,864,16
수도하수및폐기물처리원료재생업,5450,4902,548
건설업,97535,87278,10257
도매및소매업,864543,525209,339334
운수및창고업,338825,325500,13325
숙박및음식점업,627039,209069,417970
정보통신업,24271,20962,3309
금융및보험업,36996,33239,3757
부동산업,110768,81475,29293
전문과학및기술서비스업,64975,58616,6359
사업시설관리사업지원및임대서비스업,46321,33404,12917
공공행정국방및사회보장행정,12044,11717,327
교육서비스업,156164,73440,82724
보건업및사회복지서비스업,88452,54873,33579
예술스포츠및여가관련서비스업,98059,58416,39643
협회및단체수리및기타개인서비스업,351270,209439,141831
