산업분류,사업체수,남대표,여대표
전체,3355459,2107606,1247853
농업임업및어업,2253,2080,173
광업,1752,1594,158
제조업,336908,276281,60627
전기가스증기및공기조절공급업,951,923,28
수도하수및폐기물처리원료재생업,5996,5321,675
건설업,98859,85797,13062
도매및소매업,873632,523085,350547
운수및창고업,347289,333360,13929
숙박및음식점업,636278,222797,413481
정보통신업,26299,22546,3753
금융및보험업,39485,34965,4520
부동산업,114006,79205,34801
전문과학및기술서비스업,70372,62506,7866
사업시설관리사업지원및임대서비스업,48268,35397,12871
공공행정국방및사회보장행정,11869,11394,475
교육서비스업,166527,77766,88761
보건업및사회복지서비스업,108081,62621,45460
예술스포츠및여가관련서비스업,101745,59841,41904
협회및단체수리및기타개인서비스업,364889,210127,154762
