산업분류,종사자합,종사자남,종사자여
전체,16817946,9888306,6929640
농업임업및어업,30238,23142,7096
광업,16571,14534,2037
제조업,3262933,2397865,865068
전기가스증기및공기조절공급업,51727,45777,5950
수도하수및폐기물처리원료재생업,82872,70879,11993
건설업,902802,787197,115605
도매및소매업,2618346,1428754,1189592
운수및창고업,976105,878538,97567
숙박및음식점업,1755201,590547,1164654
정보통신업,432928,309066,123862
금융및보험업,692071,328390,363681
부동산업,411358,278063,133295
전문과학및기술서비스업,732048,513475,218573
사업시설관리사업지원및임대서비스업,745494,405780,339714
공공행정국방및사회보장행정,657680,461945,195735
교육서비스업,1363740,526394,837346
보건업및사회복지서비스업,981216,230032,751184
예술스포츠및여가관련서비스업,321267,178006,143261
협회및단체수리및기타개인서비스업,783349,419922,363427
