산업분류,종사자합,종사자남,종사자여
전체,18569256,10795474,7773782
농업임업및어업,30836,23244,7592
광업,15473,13489,1984
제조업,3718188,2736677,981511
전기가스증기및공기조절공급업,50506,44332,6174
수도하수및폐기물처리원료재생업,89315,75932,13383
건설업,1059721,927494,132227
도매및소매업,2782007,1500893,1281114
운수및창고업,1012741,901524,111217
숙박및음식점업,1909081,678018,1231063
정보통신업,493205,346915,146290
금융및보험업,724771,331007,393764
부동산업,412396,271213,141183
전문과학및기술서비스업,814647,564557,250090
사업시설관리사업지원및임대서비스업,897401,480843,416558
공공행정국방및사회보장행정,637871,445251,192620
교육서비스업,1475660,559439,916221
보건업및사회복지서비스업,1261722,268256,993466
예술스포츠및여가관련서비스업,343790,186392,157398
협회및단체수리및기타개인서비스업,839925,439998,399927
