산업분류,종사자합,종사자남,종사자여
전체,19173387,11089577,8083810
농업임업및어업,34202,25184,9018
광업,15415,13450,1965
제조업,3825678,2826468,999210
전기가스증기및공기조절공급업,53595,46887,6708
수도하수및폐기물처리원료재생업,95103,80886,14217
건설업,1045603,905905,139698
도매및소매업,2885740,1558072,1327668
운수및창고업,1015915,898498,117417
숙박및음식점업,1986673,711307,1275366
정보통신업,509785,356728,153057
금융및보험업,707246,326765,380481
부동산업,421102,274043,147059
전문과학및기술서비스업,865241,599420,265821
사업시설관리사업지원및임대서비스업,983585,527746,455839
공공행정국방및사회보장행정,645053,449879,195174
교육서비스업,1498539,567376,931163
보건업및사회복지서비스업,1367805,285551,1082254
예술스포츠및여가관련서비스업,359129,191716,167413
협회및단체수리및기타개인서비스업,857978,443696,414282
