산업분류,종사자합,종사자남,종사자여
전체,21259126,12194129,9064997
농업임업및어업,39650,28664,10986
광업,15861,13780,2081
제조업,4097338,3030512,1066826
전기가스증기및공기조절공급업,58688,50260,8428
수도하수및폐기물처리원료재생업,102578,85592,16986
건설업,1392554,1196280,196274
도매및소매업,3141900,1686836,1455064
운수및창고업,1111060,965557,145503
숙박및음식점업,2162823,785450,1377373
정보통신업,567284,394306,172978
금융및보험업,730963,326781,404182
부동산업,501974,315821,186153
전문과학및기술서비스업,1002371,674192,328179
사업시설관리사업지원및임대서비스업,1148968,615856,533112
공공행정국방및사회보장행정,691270,461951,229319
교육서비스업,1559558,578898,980660
보건업및사회복지서비스업,1674556,329990,1344566
예술스포츠및여가관련서비스업,394913,206305,188608
협회및단체수리및기타개인서비스업,864817,447098,417719
