Industrial,workerCount,maleCount,femaleCount,ageLt40Count,ageGte40Count
건설업,270,262,8,103,167
"공공행정, 국방 및 사회보장 행정",408,288,120,251,157
교육 서비스업,170,43,127,151,19
금융 및 보험업,91,56,35,58,33
기타,1186,685,501,696,490
"농업, 임업 및 어업",453,232,221,55,398
도매 및 소매업,931,439,492,433,498
보건업 및 사회복지 서비스업,396,102,294,183,213
"사업시설 관리, 사업 지원 및 임대 서비스업",279,156,123,56,223
숙박 및 음식점업,35,34,1,21,14
"예술, 스포츠 및 여가관련 서비스업",156,89,67,99,57
운수 및 창고업,173,153,20,103,70
"전기, 가스, 증기 및 공기조절 공급업",106,97,9,76,30
"전문, 과학 및 기술 서비스업",234,211,23,128,106
정보통신업,15,13,2,7,8
제조업,1212,946,266,650,562
"협회 및 단체, 수리 및 기타 개인 서비스업",170,53,117,95,75
