Industrial,workerCount,maleCount,femaleCount,ageLt40Count,ageGte40Count
건설업,246,234,12,72,174
"공공행정, 국방 및 사회보장 행정",421,283,138,271,150
교육 서비스업,150,35,115,132,18
금융 및 보험업,96,47,49,70,26
기타,1207,633,574,676,531
"농업, 임업 및 어업",383,197,186,34,349
도매 및 소매업,734,337,397,300,434
보건업 및 사회복지 서비스업,274,57,217,120,154
"사업시설 관리, 사업 지원 및 임대 서비스업",317,161,156,65,252
숙박 및 음식점업,26,25,1,18,8
"예술, 스포츠 및 여가관련 서비스업",148,93,55,95,53
운수 및 창고업,172,147,25,88,84
"전기, 가스, 증기 및 공기조절 공급업",119,106,13,78,41
"전문, 과학 및 기술 서비스업",138,125,13,76,62
정보통신업,7,7,0,3,4
제조업,1103,869,234,510,593
"협회 및 단체, 수리 및 기타 개인 서비스업",163,54,109,68,95
