Industrial,workerCount,maleCount,femaleCount,ageLt40Count,ageGte40Count
건설업,276,260,16,78,198
"공공행정, 국방 및 사회보장 행정",514,363,151,316,198
교육 서비스업,224,56,168,186,38
금융 및 보험업,124,78,46,79,45
기타,1199,619,580,663,536
"농업, 임업 및 어업",323,168,155,18,305
도매 및 소매업,736,340,396,293,443
보건업 및 사회복지 서비스업,355,76,279,148,207
"사업시설 관리, 사업 지원 및 임대 서비스업",354,179,175,65,289
숙박 및 음식점업,34,33,1,24,10
"예술, 스포츠 및 여가관련 서비스업",163,106,57,110,53
운수 및 창고업,199,176,23,99,100
"전기, 가스, 증기 및 공기조절 공급업",129,121,8,84,45
"전문, 과학 및 기술 서비스업",165,144,21,90,75
정보통신업,8,7,1,3,5
제조업,1163,918,245,491,672
"협회 및 단체, 수리 및 기타 개인 서비스업",188,57,131,91,97
