Industrial,workerCount,maleCount,femaleCount,ageLt40Count,ageGte40Count
건설업,276,258,18,74,202
"공공행정, 국방 및 사회보장 행정",525,369,156,310,215
교육 서비스업,232,62,170,193,39
금융 및 보험업,127,81,46,83,44
기타,1182,609,573,655,527
"농업, 임업 및 어업",308,154,154,17,291
도매 및 소매업,723,341,382,284,439
보건업 및 사회복지 서비스업,325,66,259,128,197
"사업시설 관리, 사업 지원 및 임대 서비스업",335,174,161,56,279
숙박 및 음식점업,33,32,1,21,12
"예술, 스포츠 및 여가관련 서비스업",174,114,60,124,50
운수 및 창고업,191,173,18,101,90
"전기, 가스, 증기 및 공기조절 공급업",126,115,11,85,41
"전문, 과학 및 기술 서비스업",142,121,21,85,57
정보통신업,8,7,1,4,4
제조업,1158,920,238,459,699
"협회 및 단체, 수리 및 기타 개인 서비스업",209,62,147,83,126
