Industrial,workerCount,maleCount,femaleCount,ageLt40Count,ageGte40Count
건설업,280,263,17,74,206
"공공행정, 국방 및 사회보장 행정",579,414,165,327,252
교육 서비스업,212,55,157,167,45
금융 및 보험업,154,103,51,96,58
기타,1195,588,607,637,558
"농업, 임업 및 어업",346,184,162,17,329
도매 및 소매업,687,317,370,226,461
보건업 및 사회복지 서비스업,343,77,266,136,207
"사업시설 관리, 사업 지원 및 임대 서비스업",330,164,166,44,286
숙박 및 음식점업,32,30,2,22,10
"예술, 스포츠 및 여가관련 서비스업",175,109,66,124,51
운수 및 창고업,188,172,16,85,103
"전기, 가스, 증기 및 공기조절 공급업",148,137,11,100,48
"전문, 과학 및 기술 서비스업",158,135,23,83,75
정보통신업,13,12,1,8,5
제조업,1225,974,251,486,739
"협회 및 단체, 수리 및 기타 개인 서비스업",224,70,154,84,140
