Industrial,workerCount,maleCount,femaleCount,ageLt40Count,ageGte40Count
건설업,247,234,13,56,191
"공공행정, 국방 및 사회보장 행정",608,437,171,321,287
교육 서비스업,214,61,153,168,46
금융 및 보험업,154,107,47,94,60
기타,1160,553,607,612,548
"농업, 임업 및 어업",365,194,171,21,344
도매 및 소매업,677,322,355,231,446
보건업 및 사회복지 서비스업,341,78,263,134,207
"사업시설 관리, 사업 지원 및 임대 서비스업",334,171,163,44,290
숙박 및 음식점업,32,31,1,23,9
"예술, 스포츠 및 여가관련 서비스업",188,118,70,126,62
운수 및 창고업,172,156,16,75,97
"전기, 가스, 증기 및 공기조절 공급업",133,126,7,80,53
"전문, 과학 및 기술 서비스업",157,137,20,84,73
정보통신업,11,10,1,6,5
제조업,1248,984,264,455,793
"협회 및 단체, 수리 및 기타 개인 서비스업",241,87,154,94,147
