Industrial,workerCount,maleCount,femaleCount,ageLt40Count,ageGte40Count
건설업,293,279,14,68,225
"공공행정, 국방 및 사회보장 행정",706,471,235,329,377
교육 서비스업,262,67,195,180,82
금융 및 보험업,189,130,59,104,85
기타,1446,686,760,698,748
"농업, 임업 및 어업",693,371,322,25,668
도매 및 소매업,774,362,412,258,516
보건업 및 사회복지 서비스업,477,103,374,193,284
"사업시설 관리, 사업 지원 및 임대 서비스업",436,214,222,53,383
숙박 및 음식점업,43,39,4,31,12
"예술, 스포츠 및 여가관련 서비스업",198,117,81,114,84
운수 및 창고업,212,192,20,78,134
"전기, 가스, 증기 및 공기조절 공급업",169,159,10,93,76
"전문, 과학 및 기술 서비스업",190,159,31,104,86
정보통신업,12,10,2,7,5
제조업,1425,1167,258,506,919
"협회 및 단체, 수리 및 기타 개인 서비스업",263,94,169,82,181
