Industrial,workerCount,maleCount,femaleCount,ageLt40Count,ageGte40Count
건설업,288,269,19,52,236
"공공행정, 국방 및 사회보장 행정",725,472,253,330,395
교육 서비스업,255,60,195,167,88
금융 및 보험업,193,138,55,109,84
기타,1454,700,754,682,772
"농업, 임업 및 어업",673,355,318,21,652
도매 및 소매업,759,353,406,250,509
보건업 및 사회복지 서비스업,457,100,357,163,294
"사업시설 관리, 사업 지원 및 임대 서비스업",453,225,228,58,395
숙박 및 음식점업,46,42,4,25,21
"예술, 스포츠 및 여가관련 서비스업",207,128,79,123,84
운수 및 창고업,212,195,17,84,128
"전기, 가스, 증기 및 공기조절 공급업",180,171,9,103,77
"전문, 과학 및 기술 서비스업",190,160,30,103,87
정보통신업,11,9,2,7,4
제조업,1421,1138,283,487,934
"협회 및 단체, 수리 및 기타 개인 서비스업",252,93,159,76,176
