Industrial,workerCount,maleCount,femaleCount,ageLt40Count,ageGte40Count
건설업,281,268,13,48,233
"공공행정, 국방 및 사회보장 행정",741,478,263,313,428
교육 서비스업,245,66,179,129,116
금융 및 보험업,211,145,66,117,94
기타,1501,711,790,629,872
"농업, 임업 및 어업",573,304,269,19,554
도매 및 소매업,754,345,409,236,518
보건업 및 사회복지 서비스업,492,116,376,176,316
"사업시설 관리, 사업 지원 및 임대 서비스업",459,231,228,54,405
숙박 및 음식점업,42,39,3,22,20
"예술, 스포츠 및 여가관련 서비스업",197,114,83,116,81
운수 및 창고업,213,195,18,68,145
"전기, 가스, 증기 및 공기조절 공급업",194,184,10,99,95
"전문, 과학 및 기술 서비스업",173,145,28,73,100
정보통신업,17,14,3,8,9
제조업,1453,1176,277,449,1004
"협회 및 단체, 수리 및 기타 개인 서비스업",238,84,154,66,172
