Industrial,workerCount,maleCount,femaleCount,ageLt40Count,ageGte40Count
건설업,498,474,24,78,420
"공공행정, 국방 및 사회보장 행정",1370,785,585,432,938
교육 서비스업,344,83,261,141,203
금융 및 보험업,420,271,149,201,219
기타,2480,1106,1374,851,1629
"농업, 임업 및 어업",950,526,424,24,926
도매 및 소매업,1106,517,589,262,844
보건업 및 사회복지 서비스업,906,233,673,336,570
"사업시설 관리, 사업 지원 및 임대 서비스업",847,381,466,72,775
숙박 및 음식점업,71,61,10,26,45
"예술, 스포츠 및 여가관련 서비스업",291,151,140,158,133
운수 및 창고업,371,332,39,92,279
"전기, 가스, 증기 및 공기조절 공급업",302,285,17,106,196
"전문, 과학 및 기술 서비스업",327,268,59,105,222
정보통신업,21,18,3,6,15
제조업,2348,1944,404,634,1714
"협회 및 단체, 수리 및 기타 개인 서비스업",429,141,288,132,297
