Industrial,workerCount,maleCount,femaleCount,ageLt40Count,ageGte40Count
건설업,456,435,21,70,386
"공공행정, 국방 및 사회보장 행정",1384,768,616,407,977
교육 서비스업,334,79,255,122,212
금융 및 보험업,401,260,141,167,234
기타,2418,1088,1330,795,1623
"농업, 임업 및 어업",870,490,380,22,848
도매 및 소매업,1047,486,561,234,813
보건업 및 사회복지 서비스업,865,213,652,314,551
"사업시설 관리, 사업 지원 및 임대 서비스업",865,390,475,79,786
숙박 및 음식점업,68,59,9,25,43
"예술, 스포츠 및 여가관련 서비스업",277,135,142,144,133
운수 및 창고업,369,328,41,85,284
"전기, 가스, 증기 및 공기조절 공급업",285,263,22,88,197
"전문, 과학 및 기술 서비스업",314,256,58,92,222
정보통신업,24,21,3,6,18
제조업,2244,1864,380,587,1657
"협회 및 단체, 수리 및 기타 개인 서비스업",409,137,272,127,282
