Industrial,workerCount,maleCount,femaleCount,ageLt40Count,ageGte40Count
건설업,486,462,24,59,427
"공공행정, 국방 및 사회보장 행정",1448,772,676,382,1066
교육 서비스업,364,72,292,124,240
금융 및 보험업,381,254,127,131,250
기타,2509,1078,1431,752,1757
"농업, 임업 및 어업",798,460,338,20,778
도매 및 소매업,1009,476,533,201,808
보건업 및 사회복지 서비스업,928,233,695,327,601
"사업시설 관리, 사업 지원 및 임대 서비스업",840,379,461,75,765
숙박 및 음식점업,77,68,9,36,41
"예술, 스포츠 및 여가관련 서비스업",281,152,129,135,146
운수 및 창고업,380,341,39,87,293
"전기, 가스, 증기 및 공기조절 공급업",303,275,28,81,222
"전문, 과학 및 기술 서비스업",337,271,66,91,246
정보통신업,21,19,2,7,14
제조업,2213,1854,359,511,1702
"협회 및 단체, 수리 및 기타 개인 서비스업",401,145,256,114,287
