code,7th,Industrial
1,관리자,기타
11,공공 기관 및 기업 고위직,기타
111,의회 의원·고위 공무원 및 공공단체 임원,"공공행정, 국방 및 사회보장 행정"
112,기업 고위 임원,기타
12,행정·경영 지원 및 마케팅 관리직,"공공행정, 국방 및 사회보장 행정"
121,행정 및 경영 지원 관리자,"공공행정, 국방 및 사회보장 행정"
122,마케팅 및 광고·홍보 관리자,기타
13,전문 서비스 관리직,기타
131,연구·교육 및 법률 관련 관리자,"전문, 과학 및 기술 서비스업"
132,보험 및 금융 관리자,금융 및 보험업
133,보건 및 사회복지 관련 관리자,보건업 및 사회복지 서비스업
134,문화·예술 관련 관리자,"예술, 스포츠 및 여가관련 서비스업"
135,정보 통신 관련 관리자,정보통신업
139,기타 전문 서비스 관리자,기타
14,건설·전기 및 생산 관련 관리직,제조업
141,건설·전기 및 생산 관련 관리자,제조업
149,기타 건설·전기 및 생산 관련 관리자,제조업
15,판매 및 고객 서비스 관리직,도매 및 소매업
151,판매 및 운송 관리자,도매 및 소매업
152,고객 서비스 관리자,기타
153,환경·청소 및 경비 관련 관리자,기타
159,기타 판매 및 고객 서비스 관리자,도매 및 소매업
2,전문가 및 관련 종사자,"전문, 과학 및 기술 서비스업"
21,과학 전문가 및 관련직,"전문, 과학 및 기술 서비스업"
211,생명 및 자연과학 관련 전문가,"전문, 과학 및 기술 서비스업"
212,인문 및 사회과학 전문가,"전문, 과학 및 기술 서비스업"
213,생명 및 자연과학 관련 시험원,"전문, 과학 및 기술 서비스업"
22,정보 통신 전문가 및 기술직,정보통신업
221,컴퓨터 하드웨어 및 통신공학 전문가,정보통신업
222,컴퓨터 시스템 및 소프트웨어 전문가,기타
223,데이터 및 네트워크 관련 전문가,정보통신업
224,정보 시스템 및 웹 운영자,정보통신업
225,통신 및 방송 송출 장비 기사,정보통신업
23,공학 전문가 및 기술직,"전문, 과학 및 기술 서비스업"
231,건축·토목 공학 기술자 및 시험원,"전문, 과학 및 기술 서비스업"
232,화학공학 기술자 및 시험원,"전문, 과학 및 기술 서비스업"
233,금속·재료 공학 기술자 및 시험원,"전문, 과학 및 기술 서비스업"
234,전기·전자공학 기술자 및 시험원,"전기, 가스, 증기 및 공기조절 공급업"
235,기계·로봇공학 기술자 및 시험원,"전문, 과학 및 기술 서비스업"
236,소방·방재 기술자 및 안전 관리원,"전문, 과학 및 기술 서비스업"
237,환경공학·가스·에너지 기술자 및 시험원,"전기, 가스, 증기 및 공기조절 공급업"
238,항공기·선박 기관사 및 관제사,운수 및 창고업
239,기타 공학 전문가 및 관련 종사자,기타
24,보건·사회복지 및 종교 관련직,보건업 및 사회복지 서비스업
241,의료 진료 전문가,보건업 및 사회복지 서비스업
242,약사 및 한약사,보건업 및 사회복지 서비스업
243,간호사,보건업 및 사회복지 서비스업
244,영양사,보건업 및 사회복지 서비스업
245,치료·재활사 및 의료기사,보건업 및 사회복지 서비스업
246,보건 의료 관련 종사자,보건업 및 사회복지 서비스업
247,사회복지 관련 종사자,보건업 및 사회복지 서비스업
248,종교 관련 종사자,기타
25,교육 전문가 및 관련직,교육 서비스업
251,대학교수 및 강사,교육 서비스업
252,학교 교사,교육 서비스업
253,유치원 교사,교육 서비스업
254,문리·기술 및 예능 강사,"전문, 과학 및 기술 서비스업"
259,기타 교육 전문가,교육 서비스업
26,법률 및 행정 전문직,"공공행정, 국방 및 사회보장 행정"
261,법률 전문가,기타
262,행정 전문가,"공공행정, 국방 및 사회보장 행정"
27,경영·금융전문가 및 관련직,금융 및 보험업
271,인사 및 경영 전문가,기타
272,금융 및 보험 전문가,금융 및 보험업
273,상품 기획·홍보 및 조사 전문가,기타
274,감정·기술 영업 및 중개 관련 종사자,"전문, 과학 및 기술 서비스업"
28,문화·예술·스포츠 전문가 및 관련직,"예술, 스포츠 및 여가관련 서비스업"
281,작가 및 언론 관련 전문가,"예술, 스포츠 및 여가관련 서비스업"
282,학예사·사서 및 기록물 관리사,"예술, 스포츠 및 여가관련 서비스업"
283,연극·영화 및 영상 전문가,"예술, 스포츠 및 여가관련 서비스업"
284,시각 및 공연 예술가,"예술, 스포츠 및 여가관련 서비스업"
285,디자이너,"예술, 스포츠 및 여가관련 서비스업"
286,스포츠 및 레크리에이션 관련 전문가,"예술, 스포츠 및 여가관련 서비스업"
287,식문화 관련 전문가,숙박 및 음식점업
288,문화·예술 관련 기획자 및 매니저,"예술, 스포츠 및 여가관련 서비스업"
3,사무 종사자,기타
31,경영 및 회계 관련 사무직,기타
311,행정 사무원,"공공행정, 국방 및 사회보장 행정"
312,경영 관련 사무원,기타
313,회계 및 경리 사무원,기타
314,비서 및 사무 보조원,기타
32,금융 사무직,금융 및 보험업
320,금융 사무 종사자,금융 및 보험업
33,법률 및 감사 사무직,기타
330,법률 및 감사 사무 종사자,기타
39,상담·안내·통계 및 기타 사무직,기타
391,통계 관련 사무원,기타
392,여행·안내 및 접수 사무원,"사업시설 관리, 사업 지원 및 임대 서비스업"
399,고객 상담 및 기타 사무원,기타
4,서비스 종사자,기타
41,경찰·소방 및 보안 관련 서비스직,"공공행정, 국방 및 사회보장 행정"
411,경찰·소방 및 교도 관련 종사자,"공공행정, 국방 및 사회보장 행정"
412,경호 및 보안 관련 종사자,기타
42,돌봄·보건 및 개인 생활 서비스직,보건업 및 사회복지 서비스업
421,돌봄 및 보건 서비스 종사자,보건업 및 사회복지 서비스업
422,미용 관련 서비스 종사자,"협회 및 단체, 수리 및 기타 개인 서비스업"
423,혼례 및 장례 종사자,"협회 및 단체, 수리 및 기타 개인 서비스업"
429,기타 돌봄·보건 및 개인 생활 서비스 종사자,보건업 및 사회복지 서비스업
43,운송 및 여가 서비스직,운수 및 창고업
431,운송 서비스 종사자,운수 및 창고업
432,여가 서비스 종사자,"예술, 스포츠 및 여가관련 서비스업"
44,조리 및 음식 서비스직,숙박 및 음식점업
441,조리사,숙박 및 음식점업
442,식음료 서비스 종사자,숙박 및 음식점업
5,판매 종사자,도매 및 소매업
51,영업직,기타
510,영업 종사자,기타
52,매장 판매 및 상품 대여직,도매 및 소매업
521,매장 판매 종사자,도매 및 소매업
522,상품 대여 종사자,기타
53,통신 및 방문·노점 판매 관련직,도매 및 소매업
531,통신 관련 판매직,도매 및 소매업
532,방문 및 노점 판매 관련직,도매 및 소매업
6,농림·어업 숙련 종사자,"농업, 임업 및 어업"
61,농·축산 숙련직,"농업, 임업 및 어업"
611,작물 재배 종사자,"농업, 임업 및 어업"
612,원예 및 조경 종사자,"농업, 임업 및 어업"
613,축산 및 사육 관련 종사자,"농업, 임업 및 어업"
62,임업 숙련직,"농업, 임업 및 어업"
620,임업 관련 종사자,"농업, 임업 및 어업"
63,어업 숙련직,"농업, 임업 및 어업"
630,어업 관련 종사자,"농업, 임업 및 어업"
7,기능원 및 관련 기능 종사자,기타
71,식품가공 관련 기능직,제조업
710,식품가공 관련 기능 종사자,제조업
72,섬유·의복 및 가죽 관련 기능직,제조업
721,섬유 및 가죽 관련 기능 종사자,제조업
722,의복 제조 관련 기능 종사자,제조업
73,목재·가구·악기 및 간판 관련 기능직,제조업
730,목재·가구·악기 및 간판 관련 기능 종사자,제조업
74,금속 성형 관련 기능직,제조업
741,금형·주조 및 단조원,제조업
742,제관원 및 판금원,제조업
743,용접원,제조업
75,운송 및 기계 관련 기능직,운수 및 창고업
751,자동차 정비원,"협회 및 단체, 수리 및 기타 개인 서비스업"
752,운송장비 정비원,운수 및 창고업
753,기계장비 설치 및 정비원,기타
76,전기 및 전자 관련 기능직,"전기, 가스, 증기 및 공기조절 공급업"
761,전기·전자기기 설치 및 수리원,"전기, 가스, 증기 및 공기조절 공급업"
762,전기공,"전기, 가스, 증기 및 공기조절 공급업"
77,정보 통신 및 방송장비 관련 기능직,정보통신업
771,정보 통신기기 설치 및 수리원,정보통신업
772,방송·통신장비 관련 설치 및 수리원,정보통신업
78,건설 및 채굴 관련 기능직,건설업
781,건설구조 관련 기능 종사자,건설업
782,건설 관련 기능 종사자,건설업
783,건축 마감 관련 기능 종사자,건설업
784,채굴 및 토목 관련 기능 종사자,건설업
79,기타 기능 관련직,기타
791,공예 및 귀금속 세공원,"전문, 과학 및 기술 서비스업"
792,배관공,기타
799,기타 기능 관련 종사자,기타
8,장치·기계 조작 및 조립 종사자,제조업
81,식품가공 관련 기계 조작직,제조업
811,식품가공 관련 기계 조작원,제조업
812,음료 제조 관련 기계 조작원,제조업
819,기타 식품가공 관련 기계 조작원,제조업
82,섬유 및 신발 관련 기계 조작직,제조업
821,섬유 제조 및 가공기계 조작원,제조업
822,직물·신발 관련 기계 조작원 및 조립원,제조업
823,세탁 관련 기계 조작원,제조업
83,화학 관련 기계 조작직,제조업
831,석유 및 화학물 가공 장치 조작원,제조업
832,화학·고무 및 플라스틱 제품 생산기 조작원,제조업
84,금속 및 비금속 관련 기계 조작직,제조업
841,주조 및 금속가공 관련 기계 조작원,제조업
842,도장 및 도금기 조작원,제조업
843,비금속제품 생산기 조작원,제조업
85,기계 제조 및 관련 기계 조작직,제조업
851,금속 공작 기계 조작원,제조업
852,냉난방 관련 설비 조작원,기타
853,자동 조립라인 및 산업용로봇 조작원,제조업
854,운송차량 및 기계 관련 조립원,제조업
855,금속기계 부품 조립원,제조업
86,전기 및 전자 관련 기계 조작직,제조업
861,발전 및 배전장치 조작원,제조업
862,전기 및 전자설비 조작원,"전기, 가스, 증기 및 공기조절 공급업"
863,전기·전자 부품 및 제품 제조 장치 조작원,제조업
864,전기·전자 부품 및 제품 조립원,제조업
87,운전 및 운송 관련직,운수 및 창고업
871,철도 및 전동차 기관사,운수 및 창고업
872,철도운송 관련 종사자,운수 및 창고업
873,자동차 운전원,운수 및 창고업
874,물품 이동 장비 조작원,운수 및 창고업
875,건설 및 채굴기계 운전원,건설업
876,선박 승무원 및 관련 종사자,운수 및 창고업
88,상하수도 및 재활용 처리 관련 기계 조작직,제조업
881,상하수도 처리 장치 조작원,제조업
882,재활용 처리 및 소각로 조작원,"수도, 하수 및 폐기물 처리, 원료 재생업"
89,목재·인쇄 및 기타 기계 조작직,제조업
891,목재 및 종이 관련 기계 조작원,제조업
892,인쇄 및 사진 현상 관련 기계 조작원,제조업
899,기타 기계 조작원,제조업
9,단순노무 종사자,기타
91,건설 및 광업 관련 단순 노무직,건설업
910,건설 및 광업 단순 종사자,건설업
92,운송 관련 단순 노무직,운수 및 창고업
921,하역 및 적재 단순 종사자,운수 및 창고업
922,배달원,운수 및 창고업
93,제조 관련 단순 노무직,제조업
930,제조 관련 단순 종사자,제조업
94,청소 및 경비 관련 단순 노무직,기타
941,청소원 및 환경미화원,기타
942,건물 관리원 및 검표원,"사업시설 관리, 사업 지원 및 임대 서비스업"
95,가사·음식 및 판매 관련 단순 노무직,도매 및 소매업
951,가사 및 육아 도우미,"협회 및 단체, 수리 및 기타 개인 서비스업"
952,음식 관련 단순 종사자,숙박 및 음식점업
953,판매 관련 단순 종사자,도매 및 소매업
99,농림·어업 및 기타 서비스 단순 노무직,"농업, 임업 및 어업"
991,농림·어업 관련 단순 종사자,"농업, 임업 및 어업"
992,계기·자판기 및 주차 관리 종사자,기타
999,기타 서비스 관련 단순 종사자,기타
98,군인,"공공행정, 국방 및 사회보장 행정"
981,장교,"공공행정, 국방 및 사회보장 행정"
982,부사관,"공공행정, 국방 및 사회보장 행정"
983,기타 군인,"공공행정, 국방 및 사회보장 행정"