"시도별","성별","연령별",1990,1990,1990,1990,1990,1990,1990,1990,1990,1990,1990
"시도별","성별","연령별",계,농림수렵업임업및어업,광업,제조업,전기가스및수도업,건설업,도소매및음식숙박업,운수창고통신업,금융보험부동산및사업서비스업,사회및개인서비스업,분류불능산업
"전국","계","계",15750691,3280453,62342,4320605,59992,1119049,3036552,816850,829299,2148202,77347
"전국","계","15 - 19세",551913,41375,613,315446,700,19371,82541,10624,37965,43268,10
"전국","계","20 - 24세",1765225,126725,3166,751099,4439,77499,339052,54493,123866,280802,4084
"전국","계","25 - 29세",2395036,200550,7189,874928,10313,146748,455226,121067,164243,395152,19620
"전국","계","30 - 34세",2579236,271586,11382,812655,14565,205474,535363,179503,144215,384504,19989
"전국","계","35 - 39세",2101248,285778,11400,557989,10823,186963,474571,153555,99870,303950,16349
"전국","계","40 - 44세",1720307,314687,9579,397547,8219,159846,395568,113526,74397,237324,9614
"전국","계","45 - 49세",1472969,382326,9234,281676,5489,133228,314993,85322,61642,193349,5710
"전국","계","50 - 54세",1300731,500050,6333,188610,4024,104301,224608,61128,53179,156988,1510
"전국","계","55 - 59세",923328,474347,2381,92173,1217,59365,126940,28244,38741,99469,451
"전국","계","60 - 64세",495690,327956,703,32305,120,18921,53698,7003,19129,35845,10
"전국","계","65세이상",445008,355073,362,16177,83,7333,33992,2385,12052,17551,0
"전국","남자","계",10454135,1846772,58706,2952013,55087,1037502,1761656,743930,560608,1361035,76826
"전국","남자","15 - 19세",187371,26598,425,96571,240,11628,29277,3403,7189,12030,10
"전국","남자","20 - 24세",686334,86684,2403,303788,2212,52240,119140,27655,30027,58229,3956
"전국","남자","25 - 29세",1747389,125964,6837,719218,9249,138145,296498,107689,115083,209246,19460
"전국","남자","30 - 34세",2000415,160107,11129,683355,14069,200218,352132,169304,117328,272879,19894
"전국","남자","35 - 39세",1552602,160591,10963,431151,10647,180310,287976,147575,80853,226219,16317
"전국","남자","40 - 44세",1225943,176245,9055,290046,8061,152150,231508,109851,58921,180532,9574
"전국","남자","45 - 49세",1003996,196719,8688,197912,5319,125431,183415,82862,47676,150309,5665
"전국","남자","50 - 54세",865517,260332,5925,131952,3902,97697,133792,59175,42892,128340,1510
"전국","남자","55 - 59세",589279,248261,2288,64199,1195,55484,75276,27421,32682,82043,430
"전국","남자","60 - 64세",303071,179092,651,22247,120,17444,31286,6740,16772,28709,10
"전국","남자","65세이상",292218,226179,342,11574,73,6755,21356,2255,11185,12499,0
"전국","여자","계",5296556,1433681,3636,1368592,4905,81547,1274896,72920,268691,787167,521
"전국","여자","15 - 19세",364542,14777,188,218875,460,7743,53264,7221,30776,31238,0
"전국","여자","20 - 24세",1078891,40041,763,447311,2227,25259,219912,26838,93839,222573,128
"전국","여자","25 - 29세",647647,74586,352,155710,1064,8603,158728,13378,49160,185906,160
"전국","여자","30 - 34세",578821,111479,253,129300,496,5256,183231,10199,26887,111625,95
"전국","여자","35 - 39세",548646,125187,437,126838,176,6653,186595,5980,19017,77731,32
"전국","여자","40 - 44세",494364,138442,524,107501,158,7696,164060,3675,15476,56792,40
"전국","여자","45 - 49세",468973,185607,546,83764,170,7797,131578,2460,13966,43040,45
"전국","여자","50 - 54세",435214,239718,408,56658,122,6604,90816,1953,10287,28648,0
"전국","여자","55 - 59세",334049,226086,93,27974,22,3881,51664,823,6059,17426,21
"전국","여자","60 - 64세",192619,148864,52,10058,0,1477,22412,263,2357,7136,0
"전국","여자","65세이상",152790,128894,20,4603,10,578,12636,130,867,5052,0
"서울특별시","계","계",3689810,18024,2270,1095132,14197,344787,1022578,220707,350397,613337,8381
"서울특별시","계","15 - 19세",126583,116,10,63814,125,5065,29935,3012,13394,11112,0
"서울특별시","계","20 - 24세",484615,658,138,195240,858,22975,124039,15673,49039,75734,261
"서울특별시","계","25 - 29세",653713,1334,185,231525,1943,44134,161665,30146,71264,109946,1571
"서울특별시","계","30 - 34세",631133,1802,330,191925,2983,58866,170631,43575,57144,102124,1753
"서울특별시","계","35 - 39세",517039,2250,389,134753,2569,56853,152695,38826,41217,86047,1440
"서울특별시","계","40 - 44세",440430,2451,351,106538,2450,53677,135525,32283,33283,72252,1620
"서울특별시","계","45 - 49세",363587,2766,360,79089,1534,45653,111670,27369,29555,64337,1254
"서울특별시","계","50 - 54세",259140,2546,237,53127,1289,34315,76240,18377,24746,47884,379
"서울특별시","계","55 - 59세",136555,1985,111,25078,384,16889,38234,8483,17149,28149,93
"서울특별시","계","60 - 64세",49389,1019,73,9100,41,4522,14153,2247,8161,10063,10
"서울특별시","계","65세이상",27626,1097,86,4943,21,1838,7791,716,5445,5689,0
"서울특별시","남자","계",2573921,13829,2079,750782,13004,319908,654585,196125,245745,369598,8266
"서울특별시","남자","15 - 19세",43323,95,0,22250,61,2709,10702,1001,3088,3417,0
"서울특별시","남자","20 - 24세",173129,458,33,74757,370,13995,46070,6875,13000,17320,251
"서울특별시","남자","25 - 29세",461158,1126,130,175199,1612,40469,111775,24943,49496,54869,1539
"서울특별시","남자","30 - 34세",500600,1476,319,157548,2836,57324,124209,40467,46957,67764,1700
"서울특별시","남자","35 - 39세",399327,1664,389,105499,2507,55313,102362,36577,34322,59254,1440
"서울특별시","남자","40 - 44세",338639,1806,351,82839,2420,51555,89209,31048,27350,50451,1610
"서울특별시","남자","45 - 49세",282293,2140,350,61348,1514,43708,74828,26457,23946,46748,1254
"서울특별시","남자","50 - 54세",205969,1910,237,41818,1248,32836,52409,17696,20673,36763,379
"서울특별시","남자","55 - 59세",109096,1578,111,19237,384,16035,27110,8172,14758,21628,83
"서울특별시","남자","60 - 64세",38551,714,73,6516,41,4250,10263,2194,7181,7309,10
"서울특별시","남자","65세이상",21836,862,86,3771,11,1714,5648,695,4974,4075,0
"서울특별시","여자","계",1115889,4195,191,344350,1193,24879,367993,24582,104652,243739,115
"서울특별시","여자","15 - 19세",83260,21,10,41564,64,2356,19233,2011,10306,7695,0
"서울특별시","여자","20 - 24세",311486,200,105,120483,488,8980,77969,8798,36039,58414,10
"서울특별시","여자","25 - 29세",192555,208,55,56326,331,3665,49890,5203,21768,55077,32
"서울특별시","여자","30 - 34세",130533,326,11,34377,147,1542,46422,3108,10187,34360,53
"서울특별시","여자","35 - 39세",117712,586,0,29254,62,1540,50333,2249,6895,26793,0
"서울특별시","여자","40 - 44세",101791,645,0,23699,30,2122,46316,1235,5933,21801,10
"서울특별시","여자","45 - 49세",81294,626,10,17741,20,1945,36842,912,5609,17589,0
"서울특별시","여자","50 - 54세",53171,636,0,11309,41,1479,23831,681,4073,11121,0
"서울특별시","여자","55 - 59세",27459,407,0,5841,0,854,11124,311,2391,6521,10
"서울특별시","여자","60 - 64세",10838,305,0,2584,0,272,3890,53,980,2754,0
"서울특별시","여자","65세이상",5790,235,0,1172,10,124,2143,21,471,1614,0
"부산직할시","계","계",1336718,35307,473,535164,5597,89253,296449,116742,68017,186540,3176
"부산직할시","계","15 - 19세",65310,314,0,47360,30,1336,7189,1447,3965,3669,0
"부산직할시","계","20 - 24세",168956,1166,41,89567,407,5217,30738,6845,9787,25071,117
"부산직할시","계","25 - 29세",203020,3050,62,90587,1006,9574,39779,13218,12758,32350,636
"부산직할시","계","30 - 34세",231664,5338,101,92755,1107,14975,50638,22294,11006,32509,941
"부산직할시","계","35 - 39세",201623,5222,52,71370,999,15816,48675,22392,8606,27765,726
"부산직할시","계","40 - 44세",163902,5042,52,55988,769,13329,42151,19293,6042,20990,246
"부산직할시","계","45 - 49세",127810,4313,93,40325,709,11734,33444,14889,5106,16982,215
"부산직할시","계","50 - 54세",93448,4240,51,28311,401,9503,22182,10250,4238,14059,213
"부산직할시","계","55 - 59세",51641,3045,21,13153,159,5671,12819,4794,3524,8373,82
"부산직할시","계","60 - 64세",19389,2077,0,4227,10,1570,5301,997,1978,3229,0
"부산직할시","계","65세이상",9955,1500,0,1521,0,528,3533,323,1007,1543,0
"부산직할시","남자","계",880902,26741,453,332126,5170,82223,170877,108149,42483,109515,3165
"부산직할시","남자","15 - 19세",16777,204,0,11291,10,722,2532,445,626,947,0
"부산직할시","남자","20 - 24세",56317,771,31,32145,223,3329,10024,3243,2064,4370,117
"부산직할시","남자","25 - 29세",144841,2455,52,69623,905,8879,27045,11946,8463,14848,625
"부산직할시","남자","30 - 34세",177986,4538,101,72706,1056,14418,33063,21344,8409,21410,941
"부산직할시","남자","35 - 39세",148576,4299,52,51047,969,15010,29040,21814,6311,19308,726
"부산직할시","남자","40 - 44세",117325,4115,52,37285,758,12510,24328,18786,4372,14873,246
"부산직할시","남자","45 - 49세",91338,3283,93,26592,689,10905,18976,14562,3482,12541,215
"부산직할시","남자","50 - 54세",68841,3009,51,18643,391,9040,13288,9993,3118,11095,213
"부산직할시","남자","55 - 59세",38092,1887,21,8780,159,5441,7579,4724,2860,6559,82
"부산직할시","남자","60 - 64세",13778,1138,0,2953,10,1451,2856,979,1821,2570,0
"부산직할시","남자","65세이상",7031,1042,0,1061,0,518,2146,313,957,994,0
"부산직할시","여자","계",455816,8566,20,203038,427,7030,125572,8593,25534,77025,11
"부산직할시","여자","15 - 19세",48533,110,0,36069,20,614,4657,1002,3339,2722,0
"부산직할시","여자","20 - 24세",112639,395,10,57422,184,1888,20714,3602,7723,20701,0
"부산직할시","여자","25 - 29세",58179,595,10,20964,101,695,12734,1272,4295,17502,11
"부산직할시","여자","30 - 34세",53678,800,0,20049,51,557,17575,950,2597,11099,0
"부산직할시","여자","35 - 39세",53047,923,0,20323,30,806,19635,578,2295,8457,0
"부산직할시","여자","40 - 44세",46577,927,0,18703,11,819,17823,507,1670,6117,0
"부산직할시","여자","45 - 49세",36472,1030,0,13733,20,829,14468,327,1624,4441,0
"부산직할시","여자","50 - 54세",24607,1231,0,9668,10,463,8894,257,1120,2964,0
"부산직할시","여자","55 - 59세",13549,1158,0,4373,0,230,5240,70,664,1814,0
"부산직할시","여자","60 - 64세",5611,939,0,1274,0,119,2445,18,157,659,0
"부산직할시","여자","65세이상",2924,458,0,460,0,10,1387,10,50,549,0
"대구직할시","계","계",751498,16256,410,282879,2330,61417,178210,41738,39798,126394,2066
"대구직할시","계","15 - 19세",29973,20,0,20561,41,848,4211,356,2084,1852,0
"대구직할시","계","20 - 24세",95728,222,20,46507,204,3501,20230,2365,6414,16032,233
"대구직할시","계","25 - 29세",120407,463,70,51782,413,7261,24848,5696,7446,21645,783
"대구직할시","계","30 - 34세",131310,1299,50,51820,440,10449,30511,9275,6426,20660,380
"대구직할시","계","35 - 39세",109257,1714,41,37435,386,10189,29441,8188,4201,17453,209
"대구직할시","계","40 - 44세",91053,2437,50,28241,321,8847,25158,6518,3854,15377,250
"대구직할시","계","45 - 49세",70743,2193,71,21169,305,8140,18946,4714,3135,11968,102
"대구직할시","계","50 - 54세",53984,2623,40,14453,160,6690,13401,2823,2756,10959,79
"대구직할시","계","55 - 59세",31929,2195,40,7499,60,3953,7601,1423,2078,7050,30
"대구직할시","계","60 - 64세",11043,1522,0,2192,0,1186,2489,330,873,2451,0
"대구직할시","계","65세이상",6071,1568,28,1220,0,353,1374,50,531,947,0
"대구직할시","남자","계",507606,10378,410,187000,2148,58106,102226,38699,26080,80533,2026
"대구직할시","남자","15 - 19세",9208,10,0,6000,21,528,1470,143,417,619,0
"대구직할시","남자","20 - 24세",32915,152,20,18063,82,2406,6242,1227,1380,3120,223
"대구직할시","남자","25 - 29세",89155,362,70,42704,393,6940,16477,5303,5457,10686,763
"대구직할시","남자","30 - 34세",101904,810,50,41827,440,10275,20032,8558,5093,14439,380
"대구직할시","남자","35 - 39세",80898,1065,41,27262,366,9889,17864,8039,3282,12881,209
"대구직할시","남자","40 - 44세",65793,1563,50,19816,321,8615,14300,6368,3007,11503,250
"대구직할시","남자","45 - 49세",50986,1320,71,13967,305,7808,11106,4584,2208,9525,92
"대구직할시","남자","50 - 54세",39982,1584,40,9670,160,6507,7968,2732,2207,9035,79
"대구직할시","남자","55 - 59세",24112,1472,40,5353,60,3716,4479,1383,1734,5845,30
"대구직할시","남자","60 - 64세",8088,857,0,1478,0,1089,1453,321,764,2126,0
"대구직할시","남자","65세이상",4565,1183,28,860,0,333,835,41,531,754,0
"대구직할시","여자","계",243892,5878,0,95879,182,3311,75984,3039,13718,45861,40
"대구직할시","여자","15 - 19세",20765,10,0,14561,20,320,2741,213,1667,1233,0
"대구직할시","여자","20 - 24세",62813,70,0,28444,122,1095,13988,1138,5034,12912,10
"대구직할시","여자","25 - 29세",31252,101,0,9078,20,321,8371,393,1989,10959,20
"대구직할시","여자","30 - 34세",29406,489,0,9993,0,174,10479,717,1333,6221,0
"대구직할시","여자","35 - 39세",28359,649,0,10173,20,300,11577,149,919,4572,0
"대구직할시","여자","40 - 44세",25260,874,0,8425,0,232,10858,150,847,3874,0
"대구직할시","여자","45 - 49세",19757,873,0,7202,0,332,7840,130,927,2443,10
"대구직할시","여자","50 - 54세",14002,1039,0,4783,0,183,5433,91,549,1924,0
"대구직할시","여자","55 - 59세",7817,723,0,2146,0,237,3122,40,344,1205,0
"대구직할시","여자","60 - 64세",2955,665,0,714,0,97,1036,9,109,325,0
"대구직할시","여자","65세이상",1506,385,0,360,0,20,539,9,0,193,0
"인천직할시","계","계",646474,13443,682,292321,2673,54715,122884,41730,36523,79298,2205
"인천직할시","계","15 - 19세",24056,116,0,15662,52,930,3421,461,1753,1661,0
"인천직할시","계","20 - 24세",81618,482,32,42020,240,4218,14420,2763,5471,11941,31
"인천직할시","계","25 - 29세",123568,953,64,63240,408,7950,20153,6485,7287,16499,529
"인천직할시","계","30 - 34세",133757,1455,116,63682,653,10639,24235,9449,7434,15437,657
"인천직할시","계","35 - 39세",94685,1636,171,40511,464,9246,19058,7991,4466,10719,423
"인천직할시","계","40 - 44세",68447,1788,93,27954,399,7947,14656,5521,2475,7301,313
"인천직할시","계","45 - 49세",48970,1668,113,18763,251,5394,10592,3680,2185,6102,222
"인천직할시","계","50 - 54세",35698,1770,42,11799,163,4274,7782,3031,2102,4705,30
"인천직할시","계","55 - 59세",21247,1330,0,5620,33,2705,4841,1693,1748,3277,0
"인천직할시","계","60 - 64세",9054,1054,21,2189,10,958,2344,458,917,1103,0
"인천직할시","계","65세이상",5374,1191,30,881,0,454,1382,198,685,553,0
"인천직할시","남자","계",464921,9860,600,215825,2411,50731,72367,38760,24447,47715,2205
"인천직할시","남자","15 - 19세",8962,105,0,5947,21,644,1233,148,391,473,0
"인천직할시","남자","20 - 24세",32615,358,21,18460,122,2860,5602,1593,1407,2161,31
"인천직할시","남자","25 - 29세",95565,754,53,53700,367,7476,13198,5971,5076,8441,529
"인천직할시","남자","30 - 34세",110307,1132,106,55816,632,10334,15668,9145,5812,11005,657
"인천직할시","남자","35 - 39세",74447,1296,151,32024,464,8955,12165,7760,3516,7693,423
"인천직할시","남자","40 - 44세",52066,1279,93,20820,389,7530,8745,5428,1864,5605,313
"인천직할시","남자","45 - 49세",36819,1219,83,13826,221,5082,6160,3588,1796,4622,222
"인천직할시","남자","50 - 54세",27053,1279,42,8838,152,3995,4444,2938,1558,3777,30
"인천직할시","남자","55 - 59세",16125,936,0,4025,33,2523,2841,1581,1496,2690,0
"인천직할시","남자","60 - 64세",6734,650,21,1672,10,919,1353,420,877,812,0
"인천직할시","남자","65세이상",4228,852,30,697,0,413,958,188,654,436,0
"인천직할시","여자","계",181553,3583,82,76496,262,3984,50517,2970,12076,31583,0
"인천직할시","여자","15 - 19세",15094,11,0,9715,31,286,2188,313,1362,1188,0
"인천직할시","여자","20 - 24세",49003,124,11,23560,118,1358,8818,1170,4064,9780,0
"인천직할시","여자","25 - 29세",28003,199,11,9540,41,474,6955,514,2211,8058,0
"인천직할시","여자","30 - 34세",23450,323,10,7866,21,305,8567,304,1622,4432,0
"인천직할시","여자","35 - 39세",20238,340,20,8487,0,291,6893,231,950,3026,0
"인천직할시","여자","40 - 44세",16381,509,0,7134,10,417,5911,93,611,1696,0
"인천직할시","여자","45 - 49세",12151,449,30,4937,30,312,4432,92,389,1480,0
"인천직할시","여자","50 - 54세",8645,491,0,2961,11,279,3338,93,544,928,0
"인천직할시","여자","55 - 59세",5122,394,0,1595,0,182,2000,112,252,587,0
"인천직할시","여자","60 - 64세",2320,404,0,517,0,39,991,38,40,291,0
"인천직할시","여자","65세이상",1146,339,0,184,0,41,424,10,31,117,0
"광주직할시","계","계",338505,28103,822,69752,2004,31720,80112,24960,22719,76352,1961
"광주직할시","계","15 - 19세",10536,83,0,4681,30,588,2524,253,911,1466,0
"광주직할시","계","20 - 24세",39099,470,31,13504,131,2205,9060,1400,3071,9132,95
"광주직할시","계","25 - 29세",53560,1351,75,14872,267,4334,11954,3072,4272,12803,560
"광주직할시","계","30 - 34세",57727,2448,61,12794,497,5689,14184,5687,3963,11870,534
"광주직할시","계","35 - 39세",47753,2274,139,9099,328,5021,12190,5084,2887,10362,369
"광주직할시","계","40 - 44세",42157,2958,180,6392,330,5066,10762,3972,2220,10057,220
"광주직할시","계","45 - 49세",33233,3472,176,4002,156,3750,8987,2672,1873,8013,132
"광주직할시","계","50 - 54세",25811,4079,120,2673,194,2794,5737,1849,1502,6823,40
"광주직할시","계","55 - 59세",16101,4305,20,1168,61,1686,2924,704,1149,4073,11
"광주직할시","계","60 - 64세",7523,3220,20,366,10,482,1307,183,568,1367,0
"광주직할시","계","65세이상",5005,3443,0,201,0,105,483,84,303,386,0
"광주직할시","남자","계",231928,15273,782,49386,1818,29048,45904,22863,15086,49807,1961
"광주직할시","남자","15 - 19세",3038,73,0,1356,0,295,942,51,115,206,0
"광주직할시","남자","20 - 24세",13189,283,11,4996,66,1497,3342,727,588,1584,95
"광주직할시","남자","25 - 29세",37902,620,65,12874,237,4128,7558,2758,3021,6081,560
"광주직할시","남자","30 - 34세",44974,1410,51,11200,467,5501,9202,5261,3044,8304,534
"광주직할시","남자","35 - 39세",36419,1356,139,7290,307,4814,7132,4853,2326,7833,369
"광주직할시","남자","40 - 44세",31695,1578,180,5155,320,4657,6235,3793,1674,7883,220
"광주직할시","남자","45 - 49세",24726,1867,176,3025,156,3420,5145,2630,1406,6769,132
"광주직할시","남자","50 - 54세",19535,1990,120,2018,194,2615,3466,1819,1176,6097,40
"광주직할시","남자","55 - 59세",11696,2060,20,977,61,1596,1680,704,978,3609,11
"광주직할시","남자","60 - 64세",5267,1866,20,335,10,420,799,183,455,1179,0
"광주직할시","남자","65세이상",3487,2170,0,160,0,105,403,84,303,262,0
"광주직할시","여자","계",106577,12830,40,20366,186,2672,34208,2097,7633,26545,0
"광주직할시","여자","15 - 19세",7498,10,0,3325,30,293,1582,202,796,1260,0
"광주직할시","여자","20 - 24세",25910,187,20,8508,65,708,5718,673,2483,7548,0
"광주직할시","여자","25 - 29세",15658,731,10,1998,30,206,4396,314,1251,6722,0
"광주직할시","여자","30 - 34세",12753,1038,10,1594,30,188,4982,426,919,3566,0
"광주직할시","여자","35 - 39세",11334,918,0,1809,21,207,5058,231,561,2529,0
"광주직할시","여자","40 - 44세",10462,1380,0,1237,10,409,4527,179,546,2174,0
"광주직할시","여자","45 - 49세",8507,1605,0,977,0,330,3842,42,467,1244,0
"광주직할시","여자","50 - 54세",6276,2089,0,655,0,179,2271,30,326,726,0
"광주직할시","여자","55 - 59세",4405,2245,0,191,0,90,1244,0,171,464,0
"광주직할시","여자","60 - 64세",2256,1354,0,31,0,62,508,0,113,188,0
"광주직할시","여자","65세이상",1518,1273,0,41,0,0,80,0,0,124,0
"대전직할시","계","계",326615,12371,185,80201,1886,33633,76922,23925,21921,72968,2603
"대전직할시","계","15 - 19세",13503,40,10,7897,0,680,2402,231,882,1361,0
"대전직할시","계","20 - 24세",35422,249,11,11322,62,1947,8745,1247,2806,8942,91
"대전직할시","계","25 - 29세",49707,616,20,13881,279,4194,10347,3663,3947,12391,369
"대전직할시","계","30 - 34세",60288,956,51,15055,434,6335,14003,5631,3946,13386,491
"대전직할시","계","35 - 39세",49843,1138,20,11179,346,5966,11937,4585,3015,10916,741
"대전직할시","계","40 - 44세",40766,1312,20,8058,340,5359,10559,3417,2172,8872,657
"대전직할시","계","45 - 49세",30838,1351,10,6130,151,3764,8275,2382,1840,6721,214
"대전직할시","계","50 - 54세",23343,2020,43,4052,166,2837,5629,1779,1509,5288,20
"대전직할시","계","55 - 59세",13853,1828,0,1905,98,1726,3003,778,1011,3484,20
"대전직할시","계","60 - 64세",5321,1314,0,516,0,551,1270,175,444,1051,0
"대전직할시","계","65세이상",3731,1547,0,206,10,274,752,37,349,556,0
"대전직할시","남자","계",228736,8908,185,53668,1795,31528,43051,22046,15354,49659,2542
"대전직할시","남자","15 - 19세",3374,40,10,1271,0,423,885,70,233,442,0
"대전직할시","남자","20 - 24세",11573,178,11,4255,32,1394,2807,662,653,1520,61
"대전직할시","남자","25 - 29세",37036,473,20,11445,238,4020,6952,3336,2826,7378,348
"대전직할시","남자","30 - 34세",48157,672,51,12572,424,6204,8888,5403,3299,10153,491
"대전직할시","남자","35 - 39세",38763,794,20,8664,346,5700,7047,4449,2392,8610,741
"대전직할시","남자","40 - 44세",30952,892,20,5904,340,5097,5847,3246,1702,7257,647
"대전직할시","남자","45 - 49세",23036,998,10,4617,151,3617,4512,2206,1400,5311,214
"대전직할시","남자","50 - 54세",17961,1330,43,3029,166,2663,3210,1731,1218,4551,20
"대전직할시","남자","55 - 59세",10745,1241,0,1347,88,1605,1693,749,925,3077,20
"대전직할시","남자","60 - 64세",4093,978,0,378,0,531,721,166,387,932,0
"대전직할시","남자","65세이상",3046,1312,0,186,10,274,489,28,319,428,0
"대전직할시","여자","계",97879,3463,0,26533,91,2105,33871,1879,6567,23309,61
"대전직할시","여자","15 - 19세",10129,0,0,6626,0,257,1517,161,649,919,0
"대전직할시","여자","20 - 24세",23849,71,0,7067,30,553,5938,585,2153,7422,30
"대전직할시","여자","25 - 29세",12671,143,0,2436,41,174,3395,327,1121,5013,21
"대전직할시","여자","30 - 34세",12131,284,0,2483,10,131,5115,228,647,3233,0
"대전직할시","여자","35 - 39세",11080,344,0,2515,0,266,4890,136,623,2306,0
"대전직할시","여자","40 - 44세",9814,420,0,2154,0,262,4712,171,470,1615,10
"대전직할시","여자","45 - 49세",7802,353,0,1513,0,147,3763,176,440,1410,0
"대전직할시","여자","50 - 54세",5382,690,0,1023,0,174,2419,48,291,737,0
"대전직할시","여자","55 - 59세",3108,587,0,558,10,121,1310,29,86,407,0
"대전직할시","여자","60 - 64세",1228,336,0,138,0,20,549,9,57,119,0
"대전직할시","여자","65세이상",685,235,0,20,0,0,263,9,30,128,0
"경기도","계","계",2296200,319636,2511,874296,5861,171469,401245,98925,118457,278813,24987
"경기도","계","15 - 19세",99356,2513,67,69178,54,2579,11675,1426,5051,6803,10
"경기도","계","20 - 24세",299185,11831,171,164887,461,11418,46771,6999,16497,38751,1399
"경기도","계","25 - 29세",416771,23511,437,193189,1200,23075,69423,16077,24452,58295,7112
"경기도","계","30 - 34세",453363,34410,403,180823,1763,37008,82335,26007,24760,59054,6800
"경기도","계","35 - 39세",314015,32246,385,107079,1046,31267,64941,18863,14453,38307,5428
"경기도","계","40 - 44세",209870,30479,181,63421,553,22223,44745,11675,9234,25076,2283
"경기도","계","45 - 49세",165953,35994,308,42924,362,17644,32358,7914,7119,19732,1598
"경기도","계","50 - 54세",143531,46221,285,28682,317,14011,24576,6124,6989,16059,267
"경기도","계","55 - 59세",100830,43070,129,15694,94,8222,14504,2799,5490,10738,90
"경기도","계","60 - 64세",49555,27299,123,5933,0,2829,6045,797,2796,3733,0
"경기도","계","65세이상",43771,32062,22,2486,11,1193,3872,244,1616,2265,0
"경기도","남자","계",1601868,217152,2240,606192,5201,160431,239357,89934,82057,174460,24844
"경기도","남자","15 - 19세",38408,2048,56,27415,22,1519,4166,531,806,1835,10
"경기도","남자","20 - 24세",121416,9550,129,69158,164,7494,17101,3666,4342,8459,1353
"경기도","남자","25 - 29세",320338,17351,386,162397,1045,21818,46222,14311,17306,32434,7068
"경기도","남자","30 - 34세",369729,23961,360,155241,1680,36303,56831,24781,20504,43300,6768
"경기도","남자","35 - 39세",244215,21649,334,84491,1035,30335,41346,18378,11993,29247,5407
"경기도","남자","40 - 44세",154866,20976,170,45080,523,21612,26420,11255,7397,19150,2283
"경기도","남자","45 - 49세",115199,22357,266,28199,342,16736,18109,7630,5384,14578,1598
"경기도","남자","50 - 54세",99563,29942,265,17998,297,13114,13959,5755,5624,12342,267
"경기도","남자","55 - 59세",70942,27858,129,10192,82,7820,8801,2641,4777,8552,90
"경기도","남자","60 - 64세",34121,17668,123,4165,0,2580,3636,742,2409,2798,0
"경기도","남자","65세이상",33071,23792,22,1856,11,1100,2766,244,1515,1765,0
"경기도","여자","계",694332,102484,271,268104,660,11038,161888,8991,36400,104353,143
"경기도","여자","15 - 19세",60948,465,11,41763,32,1060,7509,895,4245,4968,0
"경기도","여자","20 - 24세",177769,2281,42,95729,297,3924,29670,3333,12155,30292,46
