"행정구역별(시도)","산업별",2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020
"행정구역별(시도)","산업별",종사상 지위-계,임금근로자,고용원이 없는 자영업자,고용원이 있는 자영업자,무급 가족 종사자,남자-계,임금근로자,고용원이 없는 자영업자,고용원이 있는 자영업자,무급 가족 종사자,여자-계,임금근로자,고용원이 없는 자영업자,고용원이 있는 자영업자,무급 가족 종사자
"전국","계",25839568,19946901,3692081,1312099,888487,14755802,11232035,2397739,877682,248346,11083766,8714866,1294342,434417,640141
"전국","농업, 임업 및 어업",1111287,129637,625616,29731,326303,668093,87077,486522,24466,70028,443194,42560,139094,5265,256275
"전국","광업",17185,15041,1528,506,110,14116,12309,1347,411,49,3069,2732,181,95,61
"전국","제조업",4544865,4064536,254599,166017,59713,3290270,2941143,193579,138103,17445,1254595,1123393,61020,27914,42268
"전국","전기, 가스, 증기 및 공기 조절 공급업",114567,110809,2476,970,312,93235,90434,1818,835,148,21332,20375,658,135,164
"전국","수도, 하수 및 폐기물 처리, 원료 재생업",144122,129109,7536,4628,2849,113432,101460,6682,4028,1262,30690,27649,854,600,1587
"전국","건설업",1679724,1324866,251057,88381,15420,1460328,1137810,235692,80643,6183,219396,187056,15365,7738,9237
"전국","도매 및 소매업",3450296,2247115,737082,295880,170219,1860989,1182724,427266,200642,50357,1589307,1064391,309816,95238,119862
"전국","운수 및 창고업",1349492,904476,396621,34347,14048,1155551,732086,385562,31117,6786,193941,172390,11059,3230,7262
"전국","숙박 및 음식점업",2124021,1226439,423217,277503,196862,811085,424023,177887,142880,66295,1312936,802416,245330,134623,130567
"전국","정보통신업",810857,735830,50602,22311,2114,546894,493690,34642,17881,681,263963,242140,15960,4430,1433
"전국","금융 및 보험업",897738,782077,88117,25021,2523,418928,373569,33252,11374,733,478810,408508,54865,13647,1790
"전국","부동산업",574197,450679,91211,25100,7207,359701,290220,51672,15300,2509,214496,160459,39539,9800,4698
"전국","전문, 과학 및 기술 서비스업",1140884,991662,82500,61111,5611,708046,598370,57172,50966,1538,432838,393292,25328,10145,4073
"전국","사업시설 관리, 사업 지원 및 임대 서비스업",1124953,995949,81792,31255,15957,665317,578229,58445,22445,6198,459636,417720,23347,8810,9759
"전국","공공 행정, 국방 및 사회보장 행정",1374041,1372570,753,387,331,834270,833428,431,221,190,539771,539142,322,166,141
"전국","교육 서비스업",1727811,1477019,174689,67449,8654,576005,493698,51214,28271,2822,1151806,983321,123475,39178,5832
"전국","보건업 및 사회복지 서비스업",2131056,2009137,22365,90999,8555,415780,353662,6867,53403,1848,1715276,1655475,15498,37596,6707
"전국","예술, 스포츠 및 여가관련 서비스업",474633,339284,96071,28044,11234,241402,169924,49572,17905,4001,233231,169360,46499,10139,7233
"전국","협회 및 단체, 수리 및 기타 개인 서비스업",997554,599844,301552,61863,34295,511574,328358,138006,36733,8477,485980,271486,163546,25130,25818
"전국","가구 내 고용활동 및 달리 분류되지 않은 자가 소비 생산활동",36719,27355,2638,562,6164,1542,650,73,29,790,35177,26705,2565,533,5374
"전국","국제 및 외국기관",13566,13467,59,34,6,9244,9171,38,29,6,4322,4296,21,5,-
"동부","계",20954311,16795778,2565121,1116639,476773,11874428,9376183,1601820,745212,151213,9079883,7419595,963301,371427,325560
"동부","농업, 임업 및 어업",195187,54407,86504,8923,45353,123710,35818,67052,7032,13808,71477,18589,19452,1891,31545
"동부","광업",9660,8660,592,358,50,7706,6859,523,295,29,1954,1801,69,63,21
"동부","제조업",3606219,3220066,200841,140081,45231,2605582,2323483,152123,116644,13332,1000637,896583,48718,23437,31899
"동부","전기, 가스, 증기 및 공기 조절 공급업",85160,82346,1776,790,248,68873,66835,1265,682,91,16287,15511,511,108,157
"동부","수도, 하수 및 폐기물 처리, 원료 재생업",110305,99162,5584,3457,2102,86123,77192,4949,3049,933,24182,21970,635,408,1169
"동부","건설업",1390911,1113477,192315,73203,11916,1204070,952768,179834,66714,4754,186841,160709,12481,6489,7162
"동부","도매 및 소매업",2997290,1993628,608446,259883,135333,1613276,1045092,351711,175986,40487,1384014,948536,256735,83897,94846
"동부","운수 및 창고업",1141978,778446,323820,28676,11036,974969,628816,314748,25975,5430,167009,149630,9072,2701,5606
"동부","숙박 및 음식점업",1742895,1059712,309375,231907,141901,672014,373250,129478,121041,48245,1070881,686462,179897,110866,93656
"동부","정보통신업",757520,688643,46397,20688,1792,508366,459648,31676,16472,570,249154,228995,14721,4216,1222
"동부","금융 및 보험업",804858,702109,77852,22732,2165,374656,334435,29313,10319,589,430202,367674,48539,12413,1576
"동부","부동산업",511304,404068,78100,22711,6425,319476,260341,43244,13712,2179,191828,143727,34856,8999,4246
"동부","전문, 과학 및 기술 서비스업",1047474,912663,73642,56270,4899,647825,549143,50529,46832,1321,399649,363520,23113,9438,3578
"동부","사업시설 관리, 사업 지원 및 임대 서비스업",975512,869001,66855,26847,12809,565100,494245,46785,19123,4947,410412,374756,20070,7724,7862
"동부","공공 행정, 국방 및 사회보장 행정",1049852,1048624,632,347,249,630329,629656,362,188,123,419523,418968,270,159,126
"동부","교육 서비스업",1489570,1272561,150108,59619,7282,493057,421961,43657,25086,2353,996513,850600,106451,34533,4929
"동부","보건업 및 사회복지 서비스업",1776150,1668803,18579,82018,6750,354630,298073,5776,49349,1432,1421520,1370730,12803,32669,5318
"동부","예술, 스포츠 및 여가관련 서비스업",387905,276084,78778,24202,8841,197043,137676,40560,15646,3161,190862,138408,38218,8556,5680
"동부","협회 및 단체, 수리 및 기타 개인 서비스업",830822,507957,242506,53353,27006,419316,273420,108144,31009,6743,411506,234537,134362,22344,20263
"동부","가구 내 고용활동 및 달리 분류되지 않은 자가 소비 생산활동",33207,24907,2370,545,5385,1349,577,57,29,686,31858,24330,2313,516,4699
"동부","국제 및 외국기관",10532,10454,49,29,-,6958,6895,34,29,-,3574,3559,15,-,-
"읍부","계",2549685,1870646,440133,112405,126501,1494603,1089249,296211,75090,34053,1055082,781397,143922,37315,92448
"읍부","농업, 임업 및 어업",206288,27287,113432,5709,59860,125963,18554,88938,4898,13573,80325,8733,24494,811,46287
"읍부","광업",3744,3453,210,59,22,3288,3068,174,35,11,456,385,36,24,11
"읍부","제조업",568887,517585,28239,15908,7155,411189,374221,21703,13281,1984,157698,143364,6536,2627,5171
"읍부","전기, 가스, 증기 및 공기 조절 공급업",15323,14854,346,87,36,12680,12286,276,84,34,2643,2568,70,3,2
"읍부","수도, 하수 및 폐기물 처리, 원료 재생업",19704,17520,1105,667,412,15861,14132,987,553,189,3843,3388,118,114,223
"읍부","건설업",166766,124490,31518,8856,1902,146563,107907,29843,8121,692,20203,16583,1675,735,1210
"읍부","도매 및 소매업",280097,164163,74389,22787,18758,152128,88090,43431,15401,5206,127969,76073,30958,7386,13552
"읍부","운수 및 창고업",128752,78847,44483,3633,1789,111728,64379,43250,3312,787,17024,14468,1233,321,1002
"읍부","숙박 및 음식점업",207197,99944,55037,26415,25801,73987,30225,22610,12565,8587,133210,69719,32427,13850,17214
"읍부","정보통신업",35731,31915,2581,1017,218,25725,22938,1795,913,79,10006,8977,786,104,139
"읍부","금융 및 보험업",57460,49281,6571,1421,187,26283,23096,2455,674,58,31177,26185,4116,747,129
"읍부","부동산업",39313,29482,7797,1544,490,24512,18584,4699,1051,178,14801,10898,3098,493,312
"읍부","전문, 과학 및 기술 서비스업",60122,51229,5262,3195,436,38437,31578,4035,2715,109,21685,19651,1227,480,327
"읍부","사업시설 관리, 사업 지원 및 임대 서비스업",91072,78090,8545,2572,1865,59247,50085,6580,1881,701,31825,28005,1965,691,1164
"읍부","공공 행정, 국방 및 사회보장 행정",173429,173264,80,34,51,109134,109017,44,30,43,64295,64247,36,4,8
"읍부","교육 서비스업",142778,120594,16205,5232,747,47645,40498,4802,2104,241,95133,80096,11403,3128,506
"읍부","보건업 및 사회복지 서비스업",206562,198109,1978,5557,918,34617,31408,530,2470,209,171945,166701,1448,3087,709
"읍부","예술, 스포츠 및 여가관련 서비스업",46788,34304,9010,2205,1269,23546,17228,4557,1338,423,23242,17076,4453,867,846
"읍부","협회 및 단체, 수리 및 기타 개인 서비스업",95043,52270,33144,5495,4134,50287,30225,15487,3664,911,44756,22045,17657,1831,3223
"읍부","가구 내 고용활동 및 달리 분류되지 않은 자가 소비 생산활동",2356,1702,191,12,451,94,45,11,-,38,2262,1657,180,12,413
"읍부","국제 및 외국기관",2273,2263,10,-,-,1689,1685,4,-,-,584,578,6,-,-
"면부","계",2335572,1280477,686827,83055,285213,1386771,766603,499708,57380,63080,948801,513874,187119,25675,222133
"면부","농업, 임업 및 어업",709812,47943,425680,15099,221090,418420,32705,330532,12536,42647,291392,15238,95148,2563,178443
"면부","광업",3781,2928,726,89,38,3122,2382,650,81,9,659,546,76,8,29
"면부","제조업",369759,326885,25519,10028,7327,273499,243439,19753,8178,2129,96260,83446,5766,1850,5198
"면부","전기, 가스, 증기 및 공기 조절 공급업",14084,13609,354,93,28,11682,11313,277,69,23,2402,2296,77,24,5
"면부","수도, 하수 및 폐기물 처리, 원료 재생업",14113,12427,847,504,335,11448,10136,746,426,140,2665,2291,101,78,195
"면부","건설업",122047,86899,27224,6322,1602,109695,77135,26015,5808,737,12352,9764,1209,514,865
"면부","도매 및 소매업",172909,89324,54247,13210,16128,95585,49542,32124,9255,4664,77324,39782,22123,3955,11464
"면부","운수 및 창고업",78762,47183,28318,2038,1223,68854,38891,27564,1830,569,9908,8292,754,208,654
"면부","숙박 및 음식점업",173929,66783,58805,19181,29160,65084,20548,25799,9274,9463,108845,46235,33006,9907,19697
"면부","정보통신업",17606,15272,1624,606,104,12803,11104,1171,496,32,4803,4168,453,110,72
"면부","금융 및 보험업",35420,30687,3694,868,171,17989,16038,1484,381,86,17431,14649,2210,487,85
"면부","부동산업",23580,17129,5314,845,292,15713,11295,3729,537,152,7867,5834,1585,308,140
"면부","전문, 과학 및 기술 서비스업",33288,27770,3596,1646,276,21784,17649,2608,1419,108,11504,10121,988,227,168
"면부","사업시설 관리, 사업 지원 및 임대 서비스업",58369,48858,6392,1836,1283,40970,33899,5080,1441,550,17399,14959,1312,395,733
"면부","공공 행정, 국방 및 사회보장 행정",150760,150682,41,6,31,94807,94755,25,3,24,55953,55927,16,3,7
"면부","교육 서비스업",95463,83864,8376,2598,625,35303,31239,2755,1081,228,60160,52625,5621,1517,397
"면부","보건업 및 사회복지 서비스업",148344,142225,1808,3424,887,26533,24181,561,1584,207,121811,118044,1247,1840,680
"면부","예술, 스포츠 및 여가관련 서비스업",39940,28896,8283,1637,1124,20813,15020,4455,921,417,19127,13876,3828,716,707
"면부","협회 및 단체, 수리 및 기타 개인 서비스업",71689,39617,25902,3015,3155,41971,24713,14375,2060,823,29718,14904,11527,955,2332
"면부","가구 내 고용활동 및 달리 분류되지 않은 자가 소비 생산활동",1156,746,77,5,328,99,28,5,-,66,1057,718,72,5,262
"면부","국제 및 외국기관",761,750,-,5,6,597,591,-,-,6,164,159,-,5,-
"서울특별시","계",4922176,4006892,550974,271502,92808,2679464,2129862,339265,179562,30775,2242712,1877030,211709,91940,62033
"서울특별시","농업, 임업 및 어업",7139,4034,1625,403,1077,4597,2587,1197,284,529,2542,1447,428,119,548
"서울특별시","광업",821,656,70,79,16,596,477,58,56,5,225,179,12,23,11
"서울특별시","제조업",457423,371382,45958,28404,11679,298609,240553,32126,22442,3488,158814,130829,13832,5962,8191
"서울특별시","전기, 가스, 증기 및 공기 조절 공급업",12454,12014,283,89,68,9359,9036,211,89,23,3095,2978,72,-,45
"서울특별시","수도, 하수 및 폐기물 처리, 원료 재생업",14148,12722,710,456,260,10648,9423,657,404,164,3500,3299,53,52,96
"서울특별시","건설업",287819,236875,34784,13849,2311,247992,202011,32569,12456,956,39827,34864,2215,1393,1355
"서울특별시","도매 및 소매업",838105,601902,139628,67170,29405,454152,317580,81901,45325,9346,383953,284322,57727,21845,20059
"서울특별시","운수 및 창고업",240009,169845,62817,5358,1989,198128,131256,61147,4825,900,41881,38589,1670,533,1089
"서울특별시","숙박 및 음식점업",432516,292504,60348,52949,26715,183063,117610,27319,28331,9803,249453,174894,33029,24618,16912
"서울특별시","정보통신업",319499,291637,18955,8364,543,204040,185212,12234,6458,136,115459,106425,6721,1906,407
"서울특별시","금융 및 보험업",281825,255910,18634,6694,587,143883,131946,8368,3373,196,137942,123964,10266,3321,391
"서울특별시","부동산업",152746,124524,19069,7011,2142,97349,81498,10879,4282,690,55397,43026,8190,2729,1452
"서울특별시","전문, 과학 및 기술 서비스업",375305,328217,26084,19410,1594,217382,184679,16592,15650,461,157923,143538,9492,3760,1133
"서울특별시","사업시설 관리, 사업 지원 및 임대 서비스업",263444,238362,15757,6682,2643,140102,124013,10424,4527,1138,123342,114349,5333,2155,1505
"서울특별시","공공 행정, 국방 및 사회보장 행정",198618,198163,207,167,81,114446,114218,108,83,37,84172,83945,99,84,44
"서울특별시","교육 서비스업",350612,302483,33001,13411,1717,118653,103045,9704,5353,551,231959,199438,23297,8058,1166
"서울특별시","보건업 및 사회복지 서비스업",378224,347874,5262,23250,1838,87596,69764,1768,15706,358,290628,278110,3494,7544,1480
"서울특별시","예술, 스포츠 및 여가관련 서비스업",101721,73210,21228,5679,1604,51581,36346,10980,3753,502,50140,36864,10248,1926,1102
"서울특별시","협회 및 단체, 수리 및 기타 개인 서비스업",194503,132101,45714,11835,4853,95424,67051,21018,6136,1219,99079,65050,24696,5699,3634
"서울특별시","가구 내 고용활동 및 달리 분류되지 않은 자가 소비 생산활동",12679,9929,835,229,1686,570,281,-,16,273,12109,9648,835,213,1413
"서울특별시","국제 및 외국기관",2566,2548,5,13,-,1294,1276,5,13,-,1272,1272,-,-,-
"부산광역시","계",1571736,1221524,219253,90130,40829,888170,677429,136359,61716,12666,683566,544095,82894,28414,28163
"부산광역시","농업, 임업 및 어업",9798,3713,3696,485,1904,6559,2797,2844,408,510,3239,916,852,77,1394
"부산광역시","광업",365,324,23,18,-,295,263,17,15,-,70,61,6,3,-
"부산광역시","제조업",259003,224797,17369,13009,3828,190690,164373,13897,11379,1041,68313,60424,3472,1630,2787
"부산광역시","전기, 가스, 증기 및 공기 조절 공급업",8098,7923,89,80,6,6728,6582,77,69,-,1370,1341,12,11,6
"부산광역시","수도, 하수 및 폐기물 처리, 원료 재생업",8785,7992,391,283,119,6843,6197,342,238,66,1942,1795,49,45,53
"부산광역시","건설업",110349,87396,15965,5917,1071,96488,75759,14937,5382,410,13861,11637,1028,535,661
"부산광역시","도매 및 소매업",241182,146727,58886,21963,13606,127057,75597,32665,14922,3873,114125,71130,26221,7041,9733
"부산광역시","운수 및 창고업",120607,86257,30556,2733,1061,105232,72406,29855,2440,531,15375,13851,701,293,530
"부산광역시","숙박 및 음식점업",146188,85607,28421,19277,12883,56438,29658,12062,10167,4551,89750,55949,16359,9110,8332
"부산광역시","정보통신업",27118,23717,2160,1103,138,18561,16035,1545,933,48,8557,7682,615,170,90
"부산광역시","금융 및 보험업",54107,46647,5858,1470,132,23215,20488,2066,629,32,30892,26159,3792,841,100
"부산광역시","부동산업",36946,28627,6220,1782,317,22538,18155,3229,1034,120,14408,10472,2991,748,197
"부산광역시","전문, 과학 및 기술 서비스업",49038,41036,4045,3723,234,29945,23831,2990,3078,46,19093,17205,1055,645,188
"부산광역시","사업시설 관리, 사업 지원 및 임대 서비스업",65213,57634,4873,1898,808,38741,33476,3525,1404,336,26472,24158,1348,494,472
"부산광역시","공공 행정, 국방 및 사회보장 행정",73459,73396,36,19,8,44503,44462,27,14,-,28956,28934,9,5,8
"부산광역시","교육 서비스업",107909,91306,11980,4105,518,35775,30368,3552,1680,175,72134,60938,8428,2425,343
"부산광역시","보건업 및 사회복지 서비스업",161468,153051,1267,6621,529,33321,28359,446,4426,90,128147,124692,821,2195,439
"부산광역시","예술, 스포츠 및 여가관련 서비스업",25319,17907,5333,1476,603,12702,8892,2566,1014,230,12617,9015,2767,462,373
"부산광역시","협회 및 단체, 수리 및 기타 개인 서비스업",64240,35596,21955,4118,2571,32294,19555,9705,2472,562,31946,16041,12250,1646,2009
"부산광역시","가구 내 고용활동 및 달리 분류되지 않은 자가 소비 생산활동",2335,1662,130,50,493,100,31,12,12,45,2235,1631,118,38,448
"부산광역시","국제 및 외국기관",209,209,-,-,-,145,145,-,-,-,64,64,-,-,-
"대구광역시","계",1126570,861620,167027,67805,30118,647312,481300,108285,48764,8963,479258,380320,58742,19041,21155
"대구광역시","농업, 임업 및 어업",11121,2563,5597,394,2567,7050,1651,4259,307,833,4071,912,1338,87,1734
"대구광역시","광업",508,416,79,13,-,337,269,62,6,-,171,147,17,7,-
"대구광역시","제조업",224467,191272,17407,12355,3433,163370,137919,13825,10654,972,61097,53353,3582,1701,2461
"대구광역시","전기, 가스, 증기 및 공기 조절 공급업",5072,4899,130,26,17,3896,3790,85,21,-,1176,1109,45,5,17
"대구광역시","수도, 하수 및 폐기물 처리, 원료 재생업",7100,6430,400,215,55,5645,5075,370,175,25,1455,1355,30,40,30
"대구광역시","건설업",79516,61243,12461,4977,835,70076,53381,11713,4643,339,9440,7862,748,334,496
"대구광역시","도매 및 소매업",167442,99212,42657,16450,9123,91690,52020,25640,11758,2272,75752,47192,17017,4692,6851
"대구광역시","운수 및 창고업",57039,32996,21838,1558,647,51209,28177,21323,1417,292,5830,4819,515,141,355
"대구광역시","숙박 및 음식점업",89674,49836,19060,12022,8756,34939,16999,8423,6733,2784,54735,32837,10637,5289,5972
